Date,FOUR WHEELER (INVALID CARRIAGE),HEAVY GOODS VEHICLE,HEAVY MOTOR VEHICLE,HEAVY PASSENGER VEHICLE,LIGHT GOODS VEHICLE,LIGHT MOTOR VEHICLE,LIGHT PASSENGER VEHICLE,MEDIUM GOODS VEHICLE,MEDIUM PASSENGER VEHICLE,MEDIUM MOTOR VEHICLE,OTHER THAN MENTIONED ABOVE,THREE WHEELER(NT),TWO WHEELER (INVALID CARRIAGE),THREE WHEELER(T),TWO WHEELER(NT),TWO WHEELER(T),year,month,total,t,sin12,cos12,lag1,lag3,lag12,roll3,roll6,subsidy_flag,covid_flag
2011-01-01,0,1,0,0,48,70,0,0,0,0,0,0,0,1,317,0,2011,1,437,12,0.49999999999999994,0.8660254037844387,398.0,339.0,385.0,384.0,382.8333333333333,0,0
2011-02-01,0,2,3,0,44,164,5,0,0,0,3,0,1,6,889,0,2011,2,1117,13,0.8660254037844386,0.5000000000000001,437.0,415.0,374.0,416.6666666666667,383.5,0,0
2011-03-01,0,1,0,0,44,76,5,0,0,0,2,0,0,4,373,0,2011,3,505,14,1.0,6.123233995736766e-17,1117.0,398.0,442.0,650.6666666666666,506.6666666666667,0,0
2011-04-01,0,3,1,0,2,62,0,0,0,0,1,0,0,4,430,0,2011,4,503,15,0.8660254037844387,-0.4999999999999998,505.0,437.0,375.0,686.3333333333334,535.1666666666666,0,0
2011-06-01,0,0,0,0,8,74,1,0,0,0,0,0,0,2,453,0,2011,6,538,16,1.2246467991473532e-16,-1.0,503.0,1117.0,338.0,708.3333333333334,562.5,0,0
2011-07-01,0,1,1,0,9,60,1,0,0,0,1,0,0,2,415,0,2011,7,490,17,-0.4999999999999997,-0.8660254037844388,538.0,505.0,417.0,515.3333333333334,583.0,0,0
2011-08-01,0,2,0,0,9,65,1,0,0,0,0,0,0,4,417,0,2011,8,498,18,-0.8660254037844384,-0.5000000000000004,490.0,503.0,433.0,510.3333333333333,598.3333333333334,0,0
2011-09-01,0,0,0,0,5,41,1,1,0,0,1,0,0,2,499,0,2011,9,550,19,-1.0,-1.8369701987210297e-16,498.0,538.0,378.0,508.6666666666667,608.5,0,0
2011-10-01,0,2,1,0,4,47,0,0,0,0,2,1,0,1,572,0,2011,10,630,20,-0.8660254037844386,0.5000000000000001,550.0,490.0,334.0,512.6666666666666,514.0,0,0
2011-11-01,0,1,1,0,5,63,4,0,0,0,0,1,0,4,745,0,2011,11,824,21,-0.5000000000000004,0.8660254037844384,630.0,498.0,339.0,559.3333333333334,534.8333333333334,0,0
2011-12-01,0,1,2,0,6,55,0,0,0,0,0,0,0,1,794,0,2011,12,859,22,-2.4492935982947064e-16,1.0,824.0,550.0,415.0,668.0,588.3333333333334,0,0
2012-01-01,0,2,0,0,8,87,5,0,0,0,0,0,0,1,560,0,2012,1,663,23,0.49999999999999994,0.8660254037844387,859.0,630.0,398.0,771.0,641.8333333333334,0,0
2012-02-01,0,2,1,0,8,67,1,0,0,0,2,0,0,5,635,0,2012,2,721,24,0.8660254037844386,0.5000000000000001,663.0,824.0,437.0,782.0,670.6666666666666,0,0
2012-03-01,0,7,0,0,7,111,7,0,0,0,1,1,0,1,627,0,2012,3,762,25,1.0,6.123233995736766e-17,721.0,859.0,1117.0,747.6666666666666,707.8333333333334,0,0
2012-04-01,0,1,1,0,5,16,1,0,0,0,0,0,0,1,417,0,2012,4,442,26,0.8660254037844387,-0.4999999999999998,762.0,663.0,505.0,715.3333333333334,743.1666666666666,0,0
2012-05-01,0,2,0,0,8,28,2,0,0,0,0,0,0,1,380,0,2012,5,421,27,0.49999999999999994,-0.8660254037844387,442.0,721.0,503.0,641.6666666666666,711.8333333333334,0,0
2012-06-01,0,1,1,0,6,48,2,1,0,0,1,0,1,3,434,0,2012,6,498,28,1.2246467991473532e-16,-1.0,421.0,762.0,538.0,541.6666666666666,644.6666666666666,0,0
2012-07-01,0,2,0,0,4,54,2,0,0,0,2,0,0,1,377,0,2012,7,442,29,-0.4999999999999997,-0.8660254037844388,498.0,442.0,490.0,453.6666666666667,584.5,0,0
2012-08-01,0,0,1,0,6,41,2,0,0,1,1,0,0,5,320,0,2012,8,377,30,-0.8660254037844384,-0.5000000000000004,442.0,421.0,498.0,453.6666666666667,547.6666666666666,0,0
2012-09-01,0,2,1,0,30,31,2,0,0,1,0,0,0,1,191,1,2012,9,260,31,-1.0,-1.8369701987210297e-16,377.0,498.0,550.0,439.0,490.3333333333333,0,0
2012-10-01,0,0,0,0,14,22,0,0,0,0,1,0,0,3,203,0,2012,10,243,32,-0.8660254037844386,0.5000000000000001,260.0,442.0,630.0,359.6666666666667,406.6666666666667,0,0
2012-11-01,0,1,2,0,5,22,2,0,0,0,2,0,0,2,319,0,2012,11,355,33,-0.5000000000000004,0.8660254037844384,243.0,377.0,824.0,293.3333333333333,373.5,0,0
2012-12-01,0,1,0,0,6,29,0,4,0,0,1,0,0,1,247,0,2012,12,289,34,-2.4492935982947064e-16,1.0,355.0,260.0,859.0,286.0,362.5,0,0
2013-01-01,0,3,1,0,5,27,1,0,0,0,0,0,0,2,209,0,2013,1,248,35,0.49999999999999994,0.8660254037844387,289.0,243.0,663.0,295.6666666666667,327.6666666666667,0,0
2013-02-01,0,0,0,0,9,21,1,0,0,0,0,0,0,4,201,0,2013,2,236,36,0.8660254037844386,0.5000000000000001,248.0,355.0,721.0,297.3333333333333,295.3333333333333,0,0
2013-03-01,0,0,1,0,12,30,4,0,0,0,0,0,0,3,168,0,2013,3,218,37,1.0,6.123233995736766e-17,236.0,289.0,762.0,257.6666666666667,271.8333333333333,0,0
2013-04-01,0,2,0,0,9,72,1,0,0,0,1,0,0,1,125,0,2013,4,211,38,0.8660254037844387,-0.4999999999999998,218.0,248.0,442.0,234.0,264.8333333333333,0,0
2013-05-01,0,0,0,0,4,63,2,0,0,1,0,0,0,2,154,0,2013,5,226,39,0.49999999999999994,-0.8660254037844387,211.0,236.0,421.0,221.66666666666666,259.5,0,0
2013-06-01,0,0,0,0,6,53,0,0,0,0,0,1,0,4,147,0,2013,6,211,40,1.2246467991473532e-16,-1.0,226.0,218.0,498.0,218.33333333333334,238.0,0,0
2013-07-01,0,1,0,0,8,41,3,0,0,0,0,0,0,6,137,0,2013,7,196,41,-0.4999999999999997,-0.8660254037844388,211.0,211.0,442.0,216.0,225.0,0,0
