state,total_population,households_with_car,electric_lighting,total_households,income_330k_545k,income_above_545k,income_middle_high,electric_pct,car_per_1000,station_count,stations_per_million,pop_norm,car_norm,income_norm,electric_norm,demand_score,supply_score,gap_score,station_score,showroom_score
Andhra Pradesh,49902658,332033,11432560,15101047,5402,3804,9206,75.70706852312955,21.987415839444775,327.0,6.552757169768392,0.2497476269496287,0.108445784735141,0.07954515998029948,0.7570706852312955,24.79700083959245,5.832836731357303,18.964164108235146,53.0529071884104,44.086028886670924
Arunachal Pradesh,1383727,20729,171821,375960,294,172,466,45.701936376210234,55.13618470050005,9.0,6.504173149761478,0.006925132817496993,0.27194131683363804,0.004026509292941512,0.45701936376210234,13.996865758208418,5.789590407846227,8.207275350362192,43.05009047408584,33.336818284654456
Assam,31205576,239904,2358900,9074503,402,202,604,25.994812057475762,26.437150332089814,86.0,2.7559177244477078,0.15617441767523257,0.1303926543646418,0.005218909040636638,0.25994812057475764,12.755615512386465,2.4531380784136996,10.302477433972765,41.756106605520856,39.76407356240744
Bihar,104099452,323190,3098435,23414674,2061,1576,3637,13.232876955707349,13.802882756343308,124.0,1.191168614413071,0.5209860986514342,0.06807823452510801,0.03142578175628386,0.13232876955707348,22.707045403191096,1.0603005524824172,21.64674485070868,49.319632875441926,53.80618171211986
Chandigarh,1055450,60494,231204,298367,7843,7897,15740,77.48980282672011,202.75030415562043,12.0,11.369558008432422,0.00528220626772998,1.0,0.13600269586029914,0.7748980282672011,40.20841503988604,10.120438443353182,30.08797659653286,62.62029522036997,35.722804640005904
Chhattisgarh,25545198,126332,4231941,6799689,1569,1263,2832,62.237272910569885,18.5790850140352,149.0,5.832798790598531,0.12784594721304027,0.09163530033363046,0.024470116561395625,0.6223727291056989,16.712834511417547,5.191976774201457,11.52085773721609,46.55794597291736,38.39151977832776
Goa,1458545,79373,312761,576582,683,645,1328,54.24397570510352,137.66125199884837,113.0,77.47446941986706,0.007299574153930763,0.6789693982071014,0.011474687427095124,0.5424397570510352,25.653183592008016,68.96271588690523,-43.30953229489721,33.958355563709084,11.462775157783597
Gujarat,60439692,743279,11013214,17524030,21848,12669,34517,62.84635440592147,42.41484407410852,476.0,7.875619220561217,0.3024822776086688,0.20919743746255062,0.29824682674777286,0.6284635440592147,32.699939482449714,7.01036218521992,25.689577297229796,53.724579303129396,52.08065775390962
Haryana,25351462,495654,4270297,7088008,12778,4461,17239,60.246785838842165,69.92853281203972,377.0,14.870937226421104,0.12687635745181525,0.3448997677377898,0.1489549221051904,0.6024678583884217,25.824057632714364,13.23713768673707,12.586919945977295,48.782501940057564,39.276321983611275
Himachal Pradesh,6864602,122529,1428783,2933663,2278,1564,3842,48.703037806319266,41.76655600864857,44.0,6.409694254670555,0.03435524535494031,0.20599996721381375,0.033197100222062854,0.48703037806319266,14.487815944267716,5.705491462112844,8.782324482154872,43.17961682755448,35.2014245823453
Jammu And Kashmir,12541302,150465,1715557,3603632,2725,1193,3918,47.60633161210689,41.75370848077717,47.0,3.7476172729115365,0.06276540246330431,0.20593660095685593,0.03385378414108336,0.47606331612106895,15.332498455480167,3.3358842878165302,11.996614167663637,44.52219512911267,37.04484310971237
