date,forecast,lower,upper,year
2025-01-01,163869.3214901376,154417.33149515692,173897.4775773478,2025
2025-02-01,166225.6709950895,156053.15900701514,175898.26946310062,2025
2025-03-01,173533.4299650197,162976.37714202242,183428.72571869395,2025
2025-04-01,171817.37438719574,161663.68827443692,183119.36953570932,2025
2025-05-01,172512.32149226757,162314.57676157096,183019.6846466885,2025
2025-06-01,177162.26264386263,166494.18407678223,188352.27174704618,2025
2025-07-01,180485.85199406193,169596.85912186204,192692.88699517678,2025
2025-08-01,183527.26930891222,172105.9493579337,195146.31737218323,2025
2025-09-01,187090.6024856441,175626.31878530383,199540.39460076054,2025
2025-10-01,191416.20235633955,178818.90056336593,203541.67539542657,2025
2025-11-01,194470.56692516967,182317.9919630756,207649.2055835619,2025
2025-12-01,196256.88125708752,182928.152057671,209604.97247374,2025
2026-01-01,197214.85086717308,184326.8289928568,210940.45257032645,2026
2026-02-01,199944.5615552936,186249.88456083433,213846.98161005173,2026
2026-03-01,205842.40516208016,192616.6113192724,219618.43794558922,2026
2026-04-01,205976.87712050002,192586.34804998778,220819.64308821366,2026
2026-05-01,206239.6447602053,192061.65948683917,220903.1198673527,2026
2026-06-01,210414.83241546038,194531.74286882838,226781.29123640797,2026
2026-07-01,213627.76063917426,198254.57954221283,229210.36958958948,2026
2026-08-01,216770.2705597239,200737.1307735122,232137.2605091613,2026
2026-09-01,220279.18074538617,202941.2296288161,237564.17706559377,2026
2026-10-01,224929.22580599974,209321.86441152843,242273.4662488373,2026
2026-11-01,228294.22206678093,211241.50932640312,244820.88189445404,2026
2026-12-01,229396.11427770657,211364.40679198483,247661.66917981318,2026
2027-01-01,230562.21638140656,213385.47773958938,248717.65551392376,2027
2027-02-01,233653.7096549042,214435.04877904142,253187.9738612285,2027
2027-03-01,238161.41143922883,219173.362987784,258311.2826136392,2027
2027-04-01,240155.67082528785,219584.04897472495,259899.438491509,2027
2027-05-01,239957.24640220625,219229.00358413006,260691.9197155517,2027
2027-06-01,243655.3820772605,222779.42296237135,264437.1306434285,2027
2027-07-01,246766.71764967556,224232.68247312578,269477.1642091784,2027
2027-08-01,250015.46215986463,226730.18654482314,271485.4788660584,2027
2027-09-01,253475.05241112565,232254.26226865916,275091.7239444784,2027
2027-10-01,258450.86842914717,235913.97562203748,281317.6358976341,2027
2027-11-01,262113.39079793915,238046.64955054052,284266.20219232835,2027
2027-12-01,262528.0824687562,238309.77751500733,286938.36186137574,2027
2028-01-01,263911.45356141176,237948.94552669433,289182.3430533542,2028
2028-02-01,267352.97634913353,242476.59529140583,293361.5915958246,2028
2028-03-01,274823.93197241885,249013.57837869105,299554.8667013336,2028
2028-04-01,271268.2764937848,245232.2267458385,296783.73618619866,2028
2028-05-01,272366.29134006007,244414.19103074368,298317.9729408967,2028
2028-06-01,277488.0335008018,249106.12684064076,303986.402507603,2028
2028-07-01,280931.04738434084,251558.3709892507,308783.2212761592,2028
2028-08-01,283876.5853444174,253985.85689207676,312146.76056960487,2028
2028-09-01,287499.5200315396,258232.62942965128,316457.4601885433,2028
2028-10-01,291502.48898140003,261748.99185528184,322020.09536637587,2028
2028-11-01,294233.36890336784,263228.7188196374,324116.10468416096,2028
2028-12-01,296700.6361931427,265197.64979177475,328057.7212296956,2028
2029-01-01,297459.74175516487,264903.2416892628,328795.6797636421,2029
2029-02-01,299816.0912601157,266608.8217892729,331963.61343609804,2029
2029-03-01,307123.8502300592,272371.7430291203,338755.6067530804,2029
2029-04-01,305407.79465222073,269855.309691725,338537.6281806283,2029
2029-05-01,306102.74175729963,270851.83277053107,338265.10009313,2029
2029-06-01,310752.6829088899,275201.44480434165,345104.50791679375,2029
2029-07-01,314076.2722590911,277330.96429553675,348565.22678810847,2029
2029-08-01,317117.68957393954,279626.71105958463,353348.0154207341,2029
2029-09-01,320681.0227506725,281828.0443438262,355078.1149012547,2029
2029-10-01,325006.62262136623,286990.7362008488,362503.87962306367,2029
2029-11-01,328060.98719020066,288800.02634143835,364989.3795660767,2029
2029-12-01,329847.30152211606,290948.1563998699,366861.24307784747,2029
2030-01-01,330805.2711322023,290452.5795665466,368259.89176897437,2030
2030-02-01,333534.98182033194,291487.33804203547,373150.8397123179,2030
2030-03-01,339432.82542710565,297785.4281471752,380126.58716113726,2030
2030-04-01,339567.29738553613,296977.9207330741,381286.6865708304,2030
2030-05-01,339830.0650252307,297774.17825413344,382342.19074108696,2030
2030-06-01,344005.2526804898,301132.9654087823,384399.7748281422,2030
2030-07-01,347218.18090420275,301946.00309298106,388455.60226010624,2030
2030-08-01,350360.6908247557,304367.8445824729,392723.42239774344,2030
2030-09-01,353869.60101041157,307805.56324041117,397065.9970562929,2030
2030-10-01,358519.64607102715,311465.16713889595,402445.77194230765,2030
2030-11-01,361884.6423318092,313862.68446314475,407653.55939894944,2030
2030-12-01,362986.5345427368,314187.80151710816,407659.61025074584,2030
2031-01-01,364152.63664643484,316008.70711441064,411880.27991335787,2031
2031-02-01,367244.1299199338,318050.1408112849,414622.5732608517,2031
2031-03-01,371751.83170426544,321879.8081705843,418920.90537372057,2031
2031-04-01,373746.09109031066,322008.75626103475,423551.65347121796,2031
2031-05-01,373547.6666672403,321659.4903086255,423255.15603962616,2031
2031-06-01,377245.80234229,326455.1155656973,425745.4652878504,2031
2031-07-01,380357.137914704,326310.2090786825,430954.0926774555,2031
2031-08-01,383605.88242489717,329464.472642325,435533.62205658294,2031
2031-09-01,387065.47267615277,333454.75520949624,439427.7792938501,2031
2031-10-01,392041.28869417944,334950.5737769247,445384.85361710674,2031
2031-11-01,395703.8110629655,340352.8477816214,449531.15499324776,2031
2031-12-01,396118.50273378735,340164.21084750653,451019.1578829612,2031
2032-01-01,397501.8738264409,340428.2532822285,453677.4694636009,2032
2032-02-01,400943.39661415905,343793.3881511562,455181.6039879885,2032
2032-03-01,408414.352237454,348176.33816747897,465422.4161041478,2032
2032-04-01,404858.69675881055,346778.0460334451,461783.5304772424,2032
2032-05-01,405956.71160509443,346287.86573066027,462346.2798419053,2032
2032-06-01,411078.4537658301,349169.00940636254,469673.76118682476,2032
2032-07-01,414521.4676493697,351936.3870861178,475269.3719414024,2032
2032-08-01,417467.00560944446,355617.9017629717,476882.4603492046,2032
2032-09-01,421089.94029656827,356813.05099367077,481616.03033307305,2032
2032-10-01,425092.9092464332,361201.5443471224,486461.1561104502,2032
2032-11-01,427823.7891683937,363422.29959074385,489499.65505937167,2032
2032-12-01,430291.0564581738,363748.4651156788,494229.75461583724,2032
2033-01-01,431050.16202019283,364970.0567114535,493557.4662825862,2033
2033-02-01,433406.51152514317,365181.4412081487,498251.4598794549,2033
2033-03-01,440714.2704950736,372363.8227856013,506389.9053626584,2033
2033-04-01,438998.21491726214,369016.29623565177,505197.23205260315,2033
2033-05-01,439693.1620223231,370585.018893671,506457.978384352,2033
2033-06-01,444343.10317391896,373661.97971659125,510081.4333161204,2033
2033-07-01,447666.69252411695,377367.8505539317,515178.1477157742,2033
2033-08-01,450708.10983896244,376700.69228158327,520933.20862298616,2033
2033-09-01,454271.4430156945,380058.55988640804,523322.23572735366,2033
2033-10-01,458597.0428863952,382921.2754165495,530394.2987587271,2033
2033-11-01,461651.40745522536,386495.409487647,531978.94331894,2033
2033-12-01,463437.7217871377,388708.89029371727,535822.0011149733,2033
2034-01-01,464395.69139722973,387299.48438229813,539324.0206551765,2034
2034-02-01,467125.40208535787,389295.3486369939,539160.782613678,2034
2034-03-01,473023.2456921381,394796.37738124887,550422.8815899963,2034
2034-04-01,473157.7176505586,395563.636776328,548571.4077658409,2034
2034-05-01,473420.48529025476,393792.14823913074,550355.073858124,2034
2034-06-01,477595.6729455134,396490.0241168946,556094.7064414339,2034
2034-07-01,480808.6011692319,399827.44243414357,558010.4109436264,2034
2034-08-01,483951.11108978256,399354.61346760695,561968.9785778859,2034
2034-09-01,487460.0212754405,402824.38801066787,564285.6627567735,2034
2034-10-01,492110.06633605575,407869.63973168825,573141.4265681247,2034
2034-11-01,495475.0625968379,410074.66980544396,576367.092008905,2034
2034-12-01,496576.9548077665,410358.9775648585,580155.5022686783,2034
2035-01-01,497743.0569114626,411089.13048597425,579496.962353159,2035
2035-02-01,500834.5501849613,413781.5649430631,587266.3516282894,2035
2035-03-01,505342.251969299,417858.4222515868,589098.249317328,2035
2035-04-01,507336.51135534147,418142.58621907566,594125.5732478274,2035
2035-05-01,507138.08693226264,415964.5868414466,594165.9190566728,2035
2035-06-01,510836.2226073189,420812.89299199707,599069.8778849288,2035
2035-07-01,513947.5581797333,423958.9681748462,602519.3190127455,2035
2035-08-01,517196.30268992786,424148.8433249898,607917.9335622331,2035
2035-09-01,520655.892941182,426915.6118436809,612220.0410073581,2035
2035-10-01,525631.7089592058,430939.67268087715,618495.2855478176,2035
2035-11-01,529294.2313279939,434560.0275104391,622204.3369847032,2035
2035-12-01,529708.9229988162,432175.8519092108,622456.2167988126,2035
2036-01-01,531092.2940914677,433885.80337328726,624614.6991968919,2036
2036-02-01,534533.8168791911,435920.96558203327,631191.9381161846,2036
2036-03-01,542004.7725024897,442681.2041444387,639312.1419931789,2036
2036-04-01,538449.1170238435,438038.69720747415,637235.7755345753,2036
2036-05-01,539547.1318701166,437232.2424027743,636023.4069823785,2036
2036-06-01,544668.87403086,439435.0276208496,643092.0934914503,2036
2036-07-01,548111.8879143993,444630.5955616064,650099.3614852834,2036
2036-08-01,551057.4258744734,442891.51531014097,654065.5923756234,2036
2036-09-01,554680.3605615983,450949.1144611853,657371.0541126695,2036
2036-10-01,558683.3295114582,451434.96956105117,660500.576042803,2036
2036-11-01,561414.2094334202,453786.84567665146,667252.6984646219,2036
2036-12-01,563881.4767231956,454234.84869754035,667810.7497306857,2036
2037-01-01,564640.5822852199,455060.55252288404,670004.5395064183,2037
2037-02-01,566996.931790175,456438.8255692434,675155.3118403434,2037
2037-03-01,574304.6907601065,464251.2739140212,681651.1697688645,2037
2037-04-01,572588.6351822878,458781.1634210561,679911.9110075734,2037
2037-05-01,573283.5822873488,459775.30682645517,682727.6543512247,2037
2037-06-01,577933.5234389481,463292.0920732396,689719.4190909044,2037
2037-07-01,581257.1127891464,467173.0845727127,693004.4116240642,2037
2037-08-01,584298.530103993,466098.67551515735,699478.3690872624,2037
2037-09-01,587861.8632807232,471863.8273500149,700326.5462539481,2037
2037-10-01,592187.46315142,474461.28636696783,705985.6683418282,2037
2037-11-01,595241.8277202634,477502.68614325114,710498.8348600027,2037
2037-12-01,597028.1420521684,475949.1907375492,715282.3140629047,2037
2038-01-01,597986.1116622563,477676.60564423364,717174.6117538061,2038
2038-02-01,600715.8223503807,478428.3553471197,717463.063154407,2038
2038-03-01,606613.6659571695,483471.81620921544,724249.9002684312,2038
2038-04-01,606748.137915581,481558.01219730894,727283.8971029102,2038
2038-05-01,607010.9055552878,479329.671221327,727588.2727665394,2038
2038-06-01,611186.0932105414,483578.15093125036,734849.3333918118,2038
2038-07-01,614399.0214342648,485588.5564749137,736917.3300339935,2038
2038-08-01,617541.5313548092,488410.7900294629,741180.2037759859,2038
2038-09-01,621050.4415404721,491542.1958235487,744799.9749048661,2038
2038-10-01,625700.4866010803,495022.94492770405,748602.5430149649,2038
2038-11-01,629065.4828618693,493462.53185964195,754505.6145931807,2038
2038-12-01,630167.3750727924,497624.5806561265,763347.9989567304,2038
2039-01-01,631333.4771764904,496156.3171849164,758422.2270573769,2039
2039-02-01,634424.970449991,496990.9398472247,766168.2944282673,2039
2039-03-01,638932.6722343081,501691.4861032364,768934.5800246255,2039
2039-04-01,640926.9316203722,502232.79652777873,775158.8390829255,2039
2039-05-01,640728.5071972926,500845.2049054382,772761.0109180564,2039
2039-06-01,644426.6428723502,500646.88431337883,778848.9791180727,2039
2039-07-01,647537.9784447588,507130.5605506695,785157.4786417561,2039
2039-08-01,650786.7229549529,508160.66187592485,785577.3298384241,2039
2039-09-01,654246.313206211,511296.0647393155,792690.60645085,2039
2039-10-01,659222.1292242345,513891.14797979745,799804.5058747436,2039
2039-11-01,662884.65159302,516239.93279367365,805650.235995017,2039
2039-12-01,663299.3432638455,515163.2482279401,804531.1574732473,2039
2040-01-01,664682.7143564961,516875.52713101555,806620.5488848637,2040
2040-02-01,668124.2371442157,519072.33904946316,808339.6539880733,2040
2040-03-01,675595.1927674985,526463.0681439613,820529.000323275,2040
2040-04-01,672039.537288869,521730.98096001835,817980.5759092219,2040
2040-05-01,673137.5521351446,520605.28864584235,819346.7096294819,2040
2040-06-01,678259.2942958897,523356.60878154356,820795.9605264945,2040
2040-07-01,681702.308179423,526250.826982852,831007.7621849995,2040
2040-08-01,684647.8461395003,529738.2826287755,834185.8940119343,2040
2040-09-01,688270.7808266294,530921.7218197162,838136.0790767941,2040
2040-10-01,692273.749776487,536592.0054085131,843691.0497612723,2040
2040-11-01,695004.6296984383,534910.6645539186,846717.1594206591,2040
2040-12-01,697471.8969882225,539223.7420560915,852201.8319620648,2040
2041-01-01,698231.0025502495,535076.3303769545,852588.6512990835,2041
2041-02-01,700587.3520552004,536307.6964738249,856422.2862652021,2041
2041-03-01,707895.1110251414,542456.567296697,862662.7637007696,2041
2041-04-01,706179.0554473074,541667.1240987177,864958.351106961,2041
2041-05-01,706874.0025523842,540301.8958822743,865831.9491179934,2041
2041-06-01,711523.9437039774,546720.1969832121,871741.9833495584,2041
2041-07-01,714847.5330541788,547850.6532155749,874931.3760012516,2041
2041-08-01,717888.9503690243,547159.5749903398,879500.4278905569,2041
2041-09-01,721452.283545754,551893.3520145145,882467.9126508893,2041
2041-10-01,725777.8834164535,553442.4280878758,888046.1185927466,2041
2041-11-01,728832.2479852816,558277.5810699313,892129.4813214492,2041
2041-12-01,730618.5623171998,559265.8705788929,897811.6297239108,2041
2042-01-01,731576.5319272869,557732.7677557521,899958.2814719601,2042
2042-02-01,734306.2426154073,559960.5812096214,903480.0520173903,2042
2042-03-01,740204.0862221882,564787.457709184,907751.2482203636,2042
2042-04-01,740338.5581806229,560554.0349967445,908865.0588561675,2042
2042-05-01,740601.3258203166,562137.6408956113,911078.5550423034,2042
2042-06-01,744776.5134755723,566370.8054374105,917400.852390793,2042
2042-07-01,747989.4416992896,568652.6989475857,919476.3780988153,2042
2042-08-01,751131.9516198371,570064.3234331104,925598.597702911,2042
2042-09-01,754640.8618054934,573803.6922141914,929263.9573324342,2042
2042-10-01,759290.9068661103,574319.6863575147,937168.4212632634,2042
2042-11-01,762655.9031268975,576032.9242162982,939719.1078443973,2042
2042-12-01,763757.7953378205,577595.0829591918,944224.3592827145,2042
2043-01-01,764923.8974415195,581580.427686966,948326.9177583719,2043
2043-02-01,768015.3907150234,582925.2065251198,950067.955054243,2043
2043-03-01,772523.0924993483,585836.0398451505,955758.8757358489,2043
2043-04-01,774517.351885395,587989.3878008546,958723.9046583095,2043
2043-05-01,774318.92746232,582603.5389441692,961215.7325817953,2043
2043-06-01,778017.063137371,588640.6620243464,963092.7636116139,2043
2043-07-01,781128.3987097872,588333.4491123873,970547.2442856048,2043
2043-08-01,784377.1432199822,592157.3016859684,974643.550189643,2043
2043-09-01,787836.7334712398,596764.1086274425,976726.0491475635,2043
2043-10-01,792812.5494892623,601570.0271428725,989474.6488583633,2043
2043-11-01,796475.0718580486,601539.9065609514,991803.6429620796,2043
2043-12-01,796889.7635288698,599587.8532995946,990803.6514204481,2043
2044-01-01,798273.134621527,602102.4136294818,993161.9739446479,2044
2044-02-01,801714.6574092433,603399.1856390628,1001314.1116427843,2044
2044-03-01,809185.6130325358,610073.7104963158,1007174.6068104772,2044
2044-04-01,805629.9575538943,607778.7337241393,1007990.1399652488,2044
2044-05-01,806727.9724001801,604963.2043001361,1005542.6942446872,2044
2044-06-01,811849.7145609139,608483.2045829518,1014494.8743748474,2044
2044-07-01,815292.7284444531,613177.0089410348,1019473.8047084439,2044
2044-08-01,818238.2664045278,614235.1655062219,1023668.5551983119,2044
2044-09-01,821861.2010916581,614406.4355028628,1029504.3982596972,2044
2044-10-01,825864.1700415204,618616.3657829575,1033718.5384554338,2044
2044-11-01,828595.0499634801,623346.5179657643,1033718.87885722,2044
2044-12-01,831062.3172532544,624468.5249948719,1040170.16454749,2044
2045-01-01,831821.4228152826,620854.5963178766,1044435.8431772863,2045
2045-02-01,834177.772320226,622744.7593307636,1047646.6927375608,2045
2045-03-01,841485.5312901785,630068.7698578414,1055810.3122904703,2045
2045-04-01,839769.4757123461,626840.4051410231,1057486.3499059977,2045
2045-05-01,840464.4228174093,625497.6542747505,1055043.1895811562,2045
2045-06-01,845114.3639690053,626979.1067594454,1062202.8960361462,2045
2045-07-01,848437.9533192045,630588.3838558793,1064482.0197884473,2045
2045-08-01,851479.3706340459,630887.2915654285,1072724.4915288535,2045
2045-09-01,855042.7038107817,634087.4007455618,1075299.4273250394,2045
2045-10-01,859368.3036814823,635888.784792441,1083750.1043024973,2045
2045-11-01,862422.6682503123,635473.1793118772,1085351.4945710476,2045
2045-12-01,864208.9825822214,641587.926683692,1089683.554423361,2045
2046-01-01,865166.9521923186,640766.3900368386,1094814.1969859474,2046
2046-02-01,867896.6628804406,641773.601400283,1094499.1937487563,2046
2046-03-01,873794.5064872251,646527.2775274175,1104555.483468047,2046
2046-04-01,873928.9784456481,644890.9562191052,1104849.7160209976,2046
2046-05-01,874191.7460853355,641324.0341309347,1105349.2191965245,2046
2046-06-01,878366.9337406012,643546.3091066525,1113485.0217053278,2046
2046-07-01,881579.8619643163,645873.0089683072,1119512.808052506,2046
2046-08-01,884722.3718848687,651055.0926986984,1123677.750216898,2046
2046-09-01,888231.2820705234,648667.0033585981,1126995.1325364164,2046
2046-10-01,892881.3271311416,655913.8153810351,1134623.6188493548,2046
2046-11-01,896246.3233919239,658485.9226870034,1140348.5022107738,2046
2046-12-01,897348.2156028494,653318.2565467944,1138384.1056883952,2046
2047-01-01,898514.3177065498,655380.5282202219,1145311.914817754,2047
2047-02-01,901605.8109800478,659062.9723362074,1148375.5666081542,2047
2047-03-01,906113.5127643773,662063.8727193722,1154452.712670919,2047
2047-04-01,908107.7721504202,663611.8074204287,1151967.4301817291,2047
2047-05-01,907909.3477273453,663311.1697518451,1160379.27035103,2047
2047-06-01,911607.4834024014,663693.5888733985,1161904.6274483548,2047
2047-07-01,914718.8189748202,665816.3169529503,1167300.571871627,2047
2047-08-01,917967.5634850162,666156.3620985054,1170202.9333487877,2047
2047-09-01,921427.1537362728,670360.8896513006,1176952.0419419238,2047
2047-10-01,926402.9697542863,676201.5502842901,1181416.9342114488,2047
2047-11-01,930065.4921230815,676258.4409809196,1183695.1672709575,2047
2047-12-01,930480.1837938969,675121.3625394775,1187862.6735125494,2047
2048-01-01,931863.554886552,677599.1580015454,1191712.2990906776,2048
2048-02-01,935305.0776742792,681730.4556313705,1198101.7256745263,2048
2048-03-01,942776.0332975697,684975.498735855,1204453.5985559851,2048
2048-04-01,939220.3778189201,680854.1606459453,1202373.142615399,2048
2048-05-01,940318.3926652003,678394.633422436,1209395.5875617343,2048
2048-06-01,945440.1348259415,681979.5594642366,1211902.5156592934,2048
2048-07-01,948883.148709487,686294.2261351275,1218002.4848473696,2048
2048-08-01,951828.6866695634,687842.3573715102,1221451.7341405714,2048
2048-09-01,955451.6213566812,692701.798868787,1224587.8233056152,2048
2048-10-01,959454.5903065446,695161.5409793528,1233538.2298303898,2048
2048-11-01,962185.4702285052,695146.1469335834,1237582.4800205433,2048
2048-12-01,964652.7375182856,697975.7533359936,1234698.7549772677,2048
2049-01-01,965411.8430803075,701211.1625488148,1241067.7082473414,2049
2049-02-01,967768.1925852573,695886.3323005991,1244721.450572361,2049
2049-03-01,975075.9515551869,699612.7519338885,1257018.2310494853,2049
2049-04-01,973359.8959773716,698564.421204326,1252120.9113121268,2049
2049-05-01,974054.8430824361,699229.6032268326,1254101.0601925785,2049
2049-06-01,978704.7842340356,705592.7326091252,1261586.6740068179,2049
2049-07-01,982028.3735842344,705853.1666592883,1266407.9986892038,2049
2049-08-01,985069.7908990787,708534.7664447487,1272909.554544604,2049
2049-09-01,988633.1240758102,709595.4335155525,1276375.2676986011,2049
2049-10-01,992958.7239465088,714046.7825765791,1278712.0218674433,2049
2049-11-01,996013.0885153417,714811.0967133541,1288775.2385899988,2049
2049-12-01,997799.4028472528,717619.0134767364,1293208.4461779604,2049
2050-01-01,998757.3724573423,714172.4402286403,1290629.6246332098,2050
2050-02-01,1001487.083145466,716238.6850823574,1295864.4915838926,2050
2050-03-01,1007384.9267522576,725594.749546505,1303069.4137773092,2050
2050-04-01,1007519.3987106704,721600.6574065839,1302987.487511522,2050
2050-05-01,1007782.1663503745,723290.4858224498,1305839.645625047,2050
2050-06-01,1011957.3540056315,721411.0904008904,1307047.38473897,2050
2050-07-01,1015170.2822293508,727421.168670658,1313309.0698356982,2050
2050-08-01,1018312.7921498953,728444.0252851291,1315771.6632896967,2050
2050-09-01,1021821.702335552,730494.7361226071,1321663.5349676579,2050
2050-10-01,1026471.7473961692,732161.0029456663,1326811.0876620808,2050
2050-11-01,1029836.7436569527,732800.7050256492,1335894.6392513968,2050
2050-12-01,1030938.6358678804,733561.3324631243,1341125.5356499178,2050
