Year,Forecast,Lower,Upper,Forecast_M,GBR_M
2025,2158367.7553007877,2025313.4886061966,2295891.251109435,2.16,2.16
2026,2558929.9459754843,2376233.795753076,2746577.750805391,2.56,2.56
2027,2959495.2106968025,2704073.8990018344,3213821.967810334,2.96,2.96
2028,3361954.610055819,3022143.881591687,3692768.2762997504,3.36,3.36
2029,3761452.798481136,3325317.0324153583,4172767.9955204576,3.76,3.76
2030,4162014.9891558397,3629245.4741867613,4665569.934088634,4.16,4.16
2031,4562580.253877161,3930759.0875681937,5169826.693867829,4.56,4.56
2032,4965039.653236172,4227372.549667637,5672043.489471049,4.97,4.97
2033,5364537.841661446,4508031.2934709545,6177564.31053653,5.36,5.36
2034,5765100.032336168,4787546.750547303,6697857.946048243,5.77,5.77
2035,6165665.297057505,5070348.159177188,7229036.066401876,6.17,6.17
2036,6568124.696416514,5325121.829599033,7768570.087526347,6.57,6.57
2037,6967622.884841801,5590647.965012552,8303746.1497953385,6.97,6.97
2038,7368185.075516505,5835694.211321853,8837962.743717628,7.37,7.37
2039,7768750.340237827,6070445.245049294,9393705.244903361,7.77,7.77
2040,8171209.739596814,6325741.056161711,9939552.225679135,8.17,8.17
2041,8570707.928022152,6560419.27106881,10489092.931020372,8.57,8.57
2042,8971270.118696842,6812011.696132216,11043984.869523514,8.97,8.97
2043,9371835.383418167,7089527.909255823,11631184.936263885,9.37,9.37
2044,9774294.782777188,7345050.471065801,12209932.74100929,9.77,9.77
2045,10173792.971202496,7561498.258636581,12793916.375667864,10.17,10.17
2046,10574355.161877193,7772141.668061668,13401094.748679945,10.57,10.57
2047,10974920.426598515,7997038.861828918,13989821.844235236,10.97,10.97
2048,11377379.82595753,8240655.289525744,14587800.376279373,11.38,11.38
2049,11776878.014382822,8470557.263209846,15187004.562948521,11.78,11.78
2050,12177440.205057543,8707191.07900026,15760013.578526398,12.18,12.18
